Source,Target,Weight
46,6064,1
46,9349,1
46,11232,1
47,7474,2
47,10592,1
47,11578,2
47,12263,1
50,10510,1
51,52,14
51,136,3
51,1388,1
51,1449,1
51,1558,1
51,2004,18
51,2703,2
51,2706,1
51,2744,1
51,4341,17
51,5156,1
51,6308,2
51,6722,1
51,6927,19
51,7394,5
51,7914,2
51,8727,1
51,8787,1
51,9605,1
51,11174,1
51,11356,10
52,109,1
52,136,10
52,1520,1
52,1558,2
52,1630,4
52,2004,2
52,2703,14
52,2706,8
52,2744,2
52,2802,1
52,3732,2
52,4165,2
52,4411,1
52,4597,1
52,6373,17
52,6434,4
52,6927,14
52,7174,1
52,7394,15
52,7461,1
52,7559,2
52,7914,10
52,8076,2
52,9011,1
52,9335,1
52,9468,3
52,9906,2
52,10254,4
52,10673,2
52,11297,4
52,11356,2
52,11716,2
52,12243,4
53,54,7
53,2292,1
53,3753,3
53,3769,4
53,4345,7
53,5773,7
53,6329,1
53,7907,1
53,9237,1
53,9489,3
53,9833,5
53,11357,1
53,11415,4
53,11973,2
54,682,9
54,980,1
54,1777,1
54,2146,2
54,2292,1
54,2823,1
54,3062,1
54,3387,1
54,3753,5
54,3769,4
54,3888,10
54,3896,1
54,3986,1
54,4345,24
54,5773,30
54,6159,1
54,7045,28
54,7204,1
54,7394,1
54,7907,1
54,8727,5
54,8787,2
54,9237,1
54,9409,1
54,9489,5
54,9833,5
54,10196,1
54,10215,1
54,11356,5
54,11357,1
54,11415,8
54,11973,3
55,2441,6
55,8888,1
57,10510,2
58,1669,4
58,2015,2
58,2036,2
58,2272,4
58,2668,2
58,3344,4
58,3381,3
58,3719,2
58,3823,1
58,4479,1
58,6729,1
58,9407,4
58,10622,4
58,11239,4
59,387,3
59,1413,1
59,2573,1
59,4230,1
59,7553,1
59,11052,1
62,192,1
62,4038,11
62,4315,1
62,5299,1
62,6286,2
62,6512,3
62,7097,2
62,8562,17
62,9654,1
62,10641,1
62,10775,26
62,10942,1
62,11500,2
63,1914,2
65,4273,1
65,4810,2
65,6498,2
65,6522,1
65,8232,1
65,8479,1
65,9311,1
65,9483,2
65,10280,4
66,10510,1
67,192,1
67,9654,1
67,10255,1
68,11470,1
69,1521,1
69,10237,1
69,12073,2
70,835,15
70,941,1
70,1777,3
70,2048,1
70,2130,12
70,2396,1
70,2416,2
70,2719,3
70,2854,3
70,2993,1
70,3293,1
70,3813,3
70,4249,14
70,4341,4
70,4582,1
70,5120,1
70,5500,2
70,5502,2
70,6172,1
70,6346,2
70,6859,2
70,7160,1
70,8257,2
70,8276,1
70,8635,4
70,8848,3
70,9552,2
70,10787,2
70,11175,2
71,275,1
71,967,1
71,1447,32
71,1498,1
71,2767,1
71,3291,11
71,3885,1
71,4349,4
71,4720,7
71,5056,1
71,5207,6
71,5551,2
71,5706,1
71,5862,2
71,6858,1
71,8186,3
71,8287,7
71,8424,8
71,8640,2
71,8936,6
71,9323,6
71,9476,1
71,9944,3
71,10080,1
71,10339,2
71,11109,11
71,11158,5
71,11565,5
71,11705,2
71,11913,1
71,12030,2
72,8113,1
73,3749,1
73,9344,1
74,634,1
74,877,2
74,943,1
74,1501,1
74,1693,1
74,2704,1
74,2858,1
74,3444,1
74,3698,2
74,4725,2
74,4799,1
74,5113,1
74,5225,1
74,5808,1
74,5810,1
74,6022,1
74,6025,1
74,6694,1
74,7290,1
74,7851,1
74,8003,2
74,8455,1
74,10473,1
74,11133,1
74,11505,2
74,11817,1
75,7525,1
75,8611,1
75,9916,1
75,12081,1
76,77,3
76,373,1
76,1800,1
76,2188,1
76,2537,1
76,2793,1
76,3393,1
76,3456,1
76,3779,1
76,4083,1
76,4162,1
76,4191,1
76,4746,1
76,4754,1
76,4983,1
76,5056,1
76,5706,1
76,5716,1
76,6286,1
76,6402,2
76,6461,1
76,6462,1
76,6759,1
76,6948,1
76,7344,1
76,7383,1
76,8644,1
76,9275,1
76,9347,1
76,9537,1
76,9540,1
76,9575,1
76,9707,1
76,9838,1
76,9936,1
76,10082,1
76,10466,1
76,11054,1
76,11148,1
77,2767,10
77,4966,1
77,7857,1
77,9413,11
77,12222,4
79,402,1
79,1840,1
79,5212,1
79,5213,1
79,6662,1
80,2828,2
80,6359,4
81,952,1
81,1721,1
81,6730,1
81,7900,1
81,11616,1
83,460,2
83,1851,7
83,1934,1
83,2032,9
83,2090,13
83,2137,4
83,2505,6
83,2932,3
83,3060,1
83,3234,1
83,3321,4
83,3657,1
83,4221,4
83,4277,11
83,4435,5
83,4729,1
83,5826,1
83,6085,3
83,6196,1
83,6280,6
83,6331,1
83,6364,6
83,6541,2
83,6568,1
83,6796,6
83,6913,11
83,7335,9
83,7614,1
83,7615,25
83,7751,1
83,7990,32
83,8578,12
83,8820,6
83,8918,1
83,9795,21
83,9916,10
83,9974,33
83,10073,1
83,10560,2
83,10683,1
83,10942,57
83,12081,10
84,1087,5
84,4988,1
84,5401,1
84,5486,1
84,6064,2
84,6741,1
84,7614,2
84,7925,2
84,8076,13
84,8705,7
84,9629,1
85,1238,2
85,2017,2
85,3793,12
85,5473,26
85,9169,26
86,2497,1
86,7368,1
87,192,2
87,3371,1
87,6943,2
88,192,27
88,2472,1
88,2967,4
88,4297,4
88,4677,1
88,4678,1
88,4820,1
88,5209,4
88,5260,1
88,5261,1
88,5333,4
88,5779,3
88,6379,1
88,6436,4
88,6943,6
88,9023,4
88,9381,10
88,9654,3
88,9724,1
88,10255,2
88,10973,2
88,11593,1
88,12059,1
89,569,1
89,976,4
89,1101,5
89,1214,1
89,1240,1
89,1514,2
89,1799,1
89,2374,2
89,2506,1
89,3489,1
89,3585,1
89,3714,2
89,4019,1
89,4452,4
89,4854,4
89,4855,4
89,4868,1
89,5204,1
89,5247,2
89,6238,2
89,6791,1
89,7262,4
89,7319,2
89,7431,4
89,7544,1
89,8223,3
89,8315,2
89,9465,2
89,10032,4
89,10271,1
89,10318,1
89,10547,4
89,10643,4
89,10794,8
89,11052,2
89,11910,1
89,12060,1
89,12307,2
90,1036,1
90,2527,1
