Id,Label,Art_num
215,Justyna Bała,28
216,Marcelina Bała,1
217,Maria Bała,100
218,Piotr Bała,373
219,Sławomir Bała,1
220,Konrad Bałabuszek,2
221,Karolina Bałaga,2
222,Maria Balanou,3
223,Mariusz Balawajder,3
224,Małgorzata Balaweider,1
225,Damian Balawender,2
226,Paweł Balawender,1
227,Patryk Bałazy,12
228,Michał Balcerak,1
229,Maciej Balcerzak,21
230,Petr Balek,12
231,Melisa Balice,2
232,Michał Balicki,2
233,Rafał Balicki,1
234,Bartosz Baliś,225
235,Konrad Balon,1
236,Paulina Bałon,2
237,Paweł Bałon,61
238,Tomasz Balon,2
239,Magdalena Balonis,3
240,Kazimierz Bałos,18
241,Viktoriia Baltiukevych,2
242,Joanna Bałuszek,0
243,Adam Bałut,16
244,Mieczysław R. Bałys,102
245,Olha Bambura,1
246,Kacper Banach,2
247,Michał Banach,2
248,Paweł Banach,2
249,Magdalena Banachowicz,1
250,Elżbieta Banachowska-Prociów,1
251,Franciszek Banaś,1
252,Joanna Banaś-Gac,33
253,Jacek M. Banaś,230
254,Jakub Banaś,0
255,Joanna Banaś,3
256,Kamila Banaś,24
257,Krzysztof Banaś,60
258,Maciej Banaś,2
259,Marian Banaś,13
260,Marian Banaś,183
261,Wojciech Banaś,2
262,Wojciech Banaś,1
263,Monika Banasiak,3
264,Piotr Banasik,80
265,Joanna Banaszczuk,1
266,Tadeusz Banaszewski,35
267,Urszula Banaszkiewicz-Beda,2
268,Paulina Bańbuła,1
269,Sylwia Banbur-Pawłowska,4
270,Przemysław Bańcerowski,1
271,Katarzyna Bańczyk,2
272,Dariusz Bańdo,8
273,Kamil Bandura,2
274,Ewa Banet,5
275,Grzegorz Bania,27
276,Piotr Bania,43
277,Krzysztof Baniak,2
278,Jarosław Baniewicz,7
279,Łukasz Banisz,1
280,Ewa Bańka,4
281,Konrad Bańka,1
282,Aleksandra Bańkowska,1
283,Winicjusz Bannert,1
284,Jan Banot,1
285,Karolina Bar,1
286,Dominika Bar-Michalczyk,30
287,Barbara Barabasz,15
288,Anna Barabasz-Nowak,2
289,Kamil Baradziej,2
290,Shahin Baramaj,5
291,Anna Baran,1
292,Beata Baran,7
293,Damian Baran,1
294,Dariusz Baran,3
295,Grzegorz Baran,3
296,Janusz Baran,13
297,Jarosław Baran,6
298,Jarosław Baran,1
299,Klaudia Baran,0
300,Krzysztof Baran,8
301,Krzysztof Baran,3
302,Marcin Baran,15
303,Mateusz Baran,14
304,Patrycja Baran,1
305,Patryk Baran,1
306,Paulina Baran,5
307,Paweł Baran,243
308,Paweł Baran,3
309,Rafał Baran,57
310,Robert Baran,6
311,Tomasz Baran,2
312,Wojciech Baran,3
313,Wojciech Baran,1
314,Marcin Baranek,1
315,Ewa Baraniak,3
316,Marta Baranik,2
317,Magdalena Baranowska,1
318,Monika Baranowska,1
319,Jerzy Baranowski,206
320,Witold Baranowski,12
321,Anna Barańska,78
322,Ewa Barańska,1
323,Dariusz Barański,1
324,Krzysztof Barański,43
325,Mateusz Barański,1
326,Mateusz Barański,0
327,Robert Barański,97
328,Antoni Barbacki,19
329,Jan Barbacki,18
330,Anna Barbaszewska-Wiśniowska,2
331,Bronisław Barchański,111
332,Jan Barcik,2
333,Monika Barcik,2
334,Monika Barciok,1
335,Szymon H. Barczentewicz,45
336,Katarzyna Barczewska,19
337,Mateusz Barczuk,1
338,Norbert Barczyk,1
339,Olga Barczyk,1
340,Radosław Bardo,13
341,Michał Barej,14
342,Izabela Bargiel,3
343,Paulina Bargiel,2
344,Ewa Barglik,1
345,Jan Paweł Barmuta,40
346,Maria Barmuta,14
347,Magdalena Barna,2
348,Andrzej Barnat,16
349,Christopher Barnes,34
350,Joanna Barniak,31
351,Kamila Baron-Pałucka,4
352,Jerzy Barszcz,6
353,Tomasz Barszcz,291
354,Maciej Barszczowski,2
355,Piotr Barta,4
356,Amanda Bartkowiak,1
357,Bartłomiej Bartnik,8
358,Konrad Bartnik,2
359,Anna Bartocha,5
360,Kamil Bartocha,1
361,Julitta Bartolewska,5
362,Karolina Bartos,1
363,Maciej Bartos,7
364,Emma Bartosik,1
365,Ewa Bartosik,2
366,Gaweł Bartosik,2
367,Mateusz Bartosik,1
368,Sabina Bartoszek,1
369,Bartosz Bartoszewicz,11
370,Bartosz Bartoszewski,2
