Id,Label,Art_num
3604,Ewa Japa,9
3605,Marcin Jaraczewski,2
3606,Maria Jaranowska,5
3607,Maciej Jaranowski,1
3608,Dominik Jarczyk,8
3609,Krzysztof Jarczyk,1
3610,Anna Jarek,11
3611,M. Jarek,1
3612,Piotr Jarguz,2
3613,Łukasz Jarmocik,1
3614,Jolanta Jarnicka,3
3615,Robert Jarocha,10
3616,Janina Jarocka,1
3617,Edward Jarocki,3
3618,Jan Jarominek,10
3619,Iwona Jarosińska-Klusek,1
3620,Olga Jarosińska,1
3621,Łukasz Jarosiński,12
3622,Krzysztof Jarośka,1
3623,Mikołaj Jarosławski,1
3624,Anna Jarosz,3
3625,Elżbieta Jarosz,1
3626,Janusz Jarosz,1
3627,K. Jarosz,1
3628,Kamil Jarosz,3
3629,Katarzyna Jarosz,5
3630,Kinga Jarosz,1
3631,Konrad Jarosz,3
3632,Elżbieta Jarosz-Krzemińska,44
3633,Mateusz Jarosz,4
3634,Paweł Jarosz,1
3635,Piotr Jarosz,104
3636,Renata Jarosz,49
3637,Wojciech Jarosz,1
3638,Karol Jartym,3
3639,Magdalena Jaruga,3
3640,Marcin Jarząb,20
3641,Anna Jarzęcka,14
3642,Jadwiga Jarzyna,252
3643,Kacper Jarzyna,1
3644,Mariusz Jarzyński,10
3645,Eryk Jasak,1
3646,Jakub Jasek,4
3647,Alina Jasek-Kamińska,17
3648,Grażyna Jasica,37
3649,Rafał Jasica,2
3650,Jerzy Jasielec,16
3651,Jacek Jasielski,43
3652,Stanisława Jasieńska,5
3653,Elżbieta Jasiewicz,10
3654,Jan Jasiewicz,30
3655,Kamil Jasiewicz,8
3656,Kinga Jasiewicz,15
3657,Aleksandra Jasińska,8
3658,Elżbieta Jasińska,70
3659,Katarzyna Jasińska,1
3660,Monika Jasińska,3
3661,Jakub Jasiński,2
3662,Jan Jasiński,7
3663,Łukasz Jasiński,1
3664,Marcin Jasiński,15
3665,Michał Jasiński,5
3666,Piotr Jasiński,2
3667,Stefan Jasiński,2
3668,Justyna Jasiołek,21
3669,Krzysztof Jasiołek,1
3670,Patrycja Jasionowska,2
3671,Daniel Jasiurkowski,4
3672,Leszek Jaskierny,3
3673,Grażyna Jaśkiewicz,4
3674,Justyna Jaśkiewicz,1
3675,Łukasz Jaśkiewicz,1
3676,Krzysztof Jaskot,2
3677,Krzysztof Jaśkowiec,8
3678,Justyna Jaskowska-Lemańska,51
3679,Paulina Jaskowska,1
3680,Andrzej Jaśkowski,3
3681,Marcin Jaskowski,17
3682,Wojciech Jaśkowski,111
3683,Joanna Jasnos,20
3684,Zuzanna Jasnosz,1
3685,Andrzej Jastrząb,1
3686,Marcin Jastrząb,20
3687,Ilona Jastrzębska,115
3688,Łukasz Jastrzębski,43
3689,Paweł Jastrzębski,29
3690,Witold Jastrzębski,71
3691,Marcin Jaszczur,3
3692,Marek Jaszczur,278
3693,Katarzyna Jaszczura,1
3694,Monika Jawańska,14
3695,Mieczysław Jawień,4
3696,Sławomir Jawień,1
3697,Paweł Jawor,1
3698,Joanna Jaworek-Korjakowska,65
3699,Michał Jaworek,2
3700,Hubert Jaworowski,17
3701,Agnieszka Jaworska,2
3702,Lucyna Renata Jaworska,43
3703,Jakub Jaworski,1
3704,Konrad Jaworski,0
3705,Rafał Jaworski,4
3706,Wiktor Jaworski,9
3707,Witold Jaworski,5
3708,Kacper Jawoszek,1
3709,Natalia Jażdżewska,20
3710,Wiesław Jażdżyński,56
3711,Ryszard Jazowy,1
3712,Ernest Jęczmionek,3
3713,Łukasz Jęda,1
3714,Kaja Jedlińska,4
3715,Katarzyna Jedlińska,65
3716,Jerzy Jedliński,129
3717,Paweł Jednacz,5
3718,Anna Jędraczka,50
3719,Mariusz Jędraczka,2
3720,Anna Jędras,6
3721,Wojciech Jędras,1
3722,Anna Jędruch,1
3723,Radosław Jędrusiak,5
3724,Mateusz Jędrusik,19
3725,Stanisław Jędrusik,38
3726,Mariusz Jędrychowski,43
3727,Michał Jędrychowski,2
3728,Joanna Jędrys,10
3729,Wojciech Jędrysik,0
3730,Adrian Jędrzejczyk,6
3731,Arletta Jędrzejczyk,4
3732,Dariusz Jędrzejczyk,30
3733,Bartosz Jędrzejec,3
3734,Adam Jędrzejek,2
3735,Filip Jędrzejek,27
3736,Marzena Jędrzejek,1
3737,Małgorzata Jędrzejowska,1
3738,Zenon Jędrzykiewicz,45
3739,Mirosław Jedynak,1
3740,Piotr Jedynak,3
3741,Zdzisław Jedynak,11
3742,Michał Jekiełek,1
3743,Marcin Jękot,3
3744,Anna Jeleń,2
3745,Dorota Jeleń,11
3746,Kazimierz Jeleń,198
3747,Kinga Jeleń,2
3748,Łukasz Jeleń,1
3749,Piotr Jeleń,278
3750,Urszula Jeleń,5
3751,Monika Jelonek,2
3752,Aleksandra Jelonek-Waliszewska,1
3753,Paweł Jemioło,30
3754,Dominika Jendrzejczyk-Handzlik,49
3755,Tomasz Jerominek,3
3756,Wojciech Jerzak,101
3757,Justyna Jesionek,6
3758,Paweł Jewiarz,1
3759,Jan Jewulski,32
3760,Maciej Jeż,3
3761,Mateusz Jeż,21
3762,Marek Jeżabek,2
3763,Barbara Jezierska,1
3764,Kamil Jeziorek,2
3765,Dorota Jeziorowska,20
3766,Marcin Jeżowski,4
3767,Zbigniew Jezuit,8
3768,Miranda Gloria Lesly Jiménez,19
3769,Krystian Jobczyk,39
3770,Dariusz Jodłowski,2
3771,Grzegorz Stefan Jodłowski,107
3772,Paweł Jodłowski,60
3773,Władysław Jodłowski,20
3774,David Allen Johnson,1
3775,Omer Jomah,3
3776,Tomasz Jonak,1
3777,Jerzy Jonas,6
3778,Małgorzata Jończyk,1
3779,Andrzej Joniec,10
3780,Konrad Jopek,21
3781,Aneta Jordan,2
3782,Diana Jordan,1
3783,Miguel Jorquera,3
3784,Elżbieta Jószczuk,5
3785,Gabriela Józefczyk,2
3786,Martyna Józefczyk,0
3787,Stefan Jóżkiewicz,3
3788,Mieczysław Jóźwik,67
3789,Paweł Jucha,1
3790,Stanisław Franciszek Jucha,11
3791,Tomasz Jucha,6
3792,Michał Juda,9
3793,Wiesław Juda,28
3794,Dawid Jugowiec,16
3795,Aleksandra Jung,88
3796,Michał Jungiewicz,7
3797,Janusz Jura,27
3798,Konrad Jura,2
3799,Rafał Jura,1
3800,Jakub Jurasz,135
3801,Konrad Jurasz,7
3802,Magdalena Jurasz,13
3803,Jan Juraszek,1
3804,Janusz Juraszek,7
3805,Paula Jurczak-Kaczor,3
3806,Mateusz Jurczak,0
3807,Jakub Jurczyk,22
3808,Krzysztof Jurczyk,61
3809,Marcin Jurczyk,1
3810,Michał Jurczyk,44
3811,Piotr Jurczyk,1
3812,Anna Jurczyk-Sitko,1
3813,Tomasz Jurczyk,44
3814,Katarzyna Jurczyszak-Pawlica,10
3815,Damian Jurczyszyn,2
3816,Michał Leszek Jurczyszyn,18
3817,Adrian Jurek,2
3818,Kamil Jurek,1
3819,Krzysztof Jurek,35
3820,Michał Jurek,1
3821,Piotr Jurgała,1
3822,Artur Jurgas,2
3823,Paweł Jurgielewicz,22
3824,Aleksandra Jurkiewicz,1
3825,Andrzej Jurkiewicz,102
3826,Bartosz Jurkiewicz,82
3827,Jerzy Jurkiewicz,58
3828,Piotr Jurkiewicz,26
3829,Agata Jurkowska,31
3830,Kamil Jurkowski,2
3831,Leszek Jurkowski,0
3832,Piotr Jurkowski,2
3833,Tadeusz Jurkowski,10
3834,Julia Juros,1
3835,Jarosław Jurowicz,1
3836,Jakub Jurzak,5
3837,Klaudia Jurzec,1
3838,Elżbieta Jurzecka,4
3839,Maria Jurzecka-Szymacha,30
3840,Kamil Juśko,14
3841,Martín Serrano Juste,2
3842,Jakub Juszczak,1
3843,Marta Juszczak,1
3844,Damian Juszczyk,2
3845,Dawid Juszka,27
3846,Jacek Juszkiewicz,3
3847,Krzysztof Juszkiewicz,18
3848,Dariusz Juszyński,10
3849,Bogusław Juza,1
3850,Edyta Juzaszek,3
3851,Eliza Juzaszek,1
3852,Dawid Juzba,1
3853,Piotr Juzoń,7
3854,Przemysław Jużyniec,1
3855,Agnieszka Kabalska,36
3856,Sławomir Kąc,183
3857,Bolesław Kacewicz,29
3858,Maciej Kachel,20
3859,Elżbieta Kachniarz,1
3860,Anna Kącka,5
3861,Marcin Kacprzak,6
3862,Michał Kacprzak,3
3863,Stanisław Kacprzak,23
3864,Janusz Kacprzyk,5
3865,Artur Kaczanowski,4
3866,Andrzej Kaczmarczyk,8
3867,Andrzej Kaczmarczyk,9
3868,Filip Kaczmarczyk,2
3869,Grzegorz Piotr Kaczmarczyk,16
3870,Karolina Kaczmarczyk,16
3871,Weronika Kaczmarczyk-Kuszpit,0
3872,Magda Kaczmarczyk,20
3873,Marzena Kaczmarczyk,2
3874,Michał Kaczmarczyk,56
3875,Mirosław Kaczmarczyk,1
3876,Piotr Kaczmarczyk,13
3877,Przemysław Kaczmarczyk,3
3878,Robert Kaczmarczyk,50
3879,Robert F. Kaczmarczyk,27
3880,Waldemar Kaczmarczyk,50
3881,Joanna Kaczmarek,2
3882,Olga Kaczmarek,1
3883,Anna Kaczmarska,7
3884,Karolina Kaczmarska,127
3885,Magdalena Kaczmarska,14
3886,Maria Kaczmarzyk,1
3887,Daniel Kaczor,9
3888,Krzysztof Kaczor,41
3889,Urszula Kaczor,3
3890,Magdalena Kaczorowska,1
3891,Maciej Kaczówka,2
3892,Łukasz Andrzej Kadłubowski,16
3893,Piotr Kadłuczka,40
3894,Bartosz Kądziela,2
3895,Bartosz Kądziołka,3
3896,Mateusz Kagan,1
3897,Paweł Kajda,2
3898,Marcin Kajor,20
3899,Jerzy Kajtoch,30
3900,Shunsuke Kakizawa,1
3901,Hiren Kakkad,17
3902,Zbigniew Kąkol,90
3903,Dawid Kala,1
3904,Józef Kała,2
3905,Piotr Kala,1
3906,Paweł Kalabiński,3
3907,Katarzyna Kałahurska,4
3908,Barbara Kalandyk,126
3909,Janusz Kalandyk,4
3910,Natalia Kalandyk,5
3911,Julia Kalarus,1
3912,Wojciech Kalawa,100
3913,Magda Kalawska,1
3914,Przemysław Kalawski,1
3915,Filip Kalbarczyk,1
3916,Aleksandra Kalęba,6
3917,Kamila Kalecińska,12
3918,Marek Kalemba,5
3919,Izabela Kalemba-Rec,130
3920,Artur Kaleta,2
3921,Daniel Kaleta,1
3922,Magdalena Kaleta,1
3923,Zbigniew Kaleta,7
3924,Maciej Kaliciak,2
3925,Alicja Kalicińska,1
3926,Zofia Kalicka,70
3927,Alicja Kalinowska,1
3928,Rafał Kalinowski,41
3929,Maciej Kaliski,246
3930,Dorota Kalisz,160
3931,Patrycja Kalisztan,1
3932,Stefan Kalita,10
3933,Maciej Kalka,6
3934,Antoni Kalukiewicz,100
3935,Danuta Kalukiewicz,12
3936,Agnieszka Kałus,2
3937,Amanda Kałuża,1
3938,Andrzej Kałuża,6
3939,Mateusz Kałuża,1
3940,Piotr Kałuża,4
3941,Maja Kałwak,1
3942,Adam Kalwar,17
3943,Marta Kamienowska,7
3944,Maria Kamieńska-Żyła,7
3945,Agnieszka Kamińska,1
3946,Jadwiga Kamińska,45
3947,Marta Kamińska,1
3948,Andrzej Kamiński,2
3949,Dariusz Kamiński,2
3950,Dariusza Kamiński,0
3951,Filip Kamiński,2
3952,Hubert Kamiński,1
3953,Jacek Kamiński,9
3954,Jakub Kamiński,20
3955,Konrad Kamiński,1
3956,Michael A. Kaminski,31
3957,Paweł Kamiński,10
3958,Paweł Kamiński,159
3959,Piotr Kamiński,16
3960,Ryszard Kamiński,5
3961,Andrzej Kamisiński,23
3962,Tadeusz Kamisiński,352
3963,Arkadiusz Kampczyk,103
3964,Alan Kamuda,5
3965,Szymon Kamuda,1
3966,Jarosław Kanak,177
3967,Adam Kania,177
3968,Adrianna Kania,1
3969,Anna Kania,11
3970,Elżbieta Kania,1
3971,Gabriela Kania,1
3972,Jarosław Kania,3
3973,Paulina Kania,101
3974,Paulina Kania,2
3975,Wiktoria Kania,1
3976,Jakub Kanigowski,1
3977,Urszula Kanik,3
3978,Piotr Kanios,13
3979,Wiesław Kaniowski,4
3980,Ewa Z. Kaniuk,4
3981,Łukasz Kaniuk,37
3982,Tomasz Kańka,22
3983,Maciej Kański,1
3984,Adam Kantek,2
3985,Eliasz Kańtoch,1
3986,Robert Kańtoch,65
3987,Klaudia Kantor,1
3988,Łukasz Kantor,1
3989,Mirosław Kantor,4
3990,Sławomir Kantor,83
3991,Sylwia Kantor,17
3992,Zuzanna Kantor,1
3993,Jan Kapała,1
3994,Mariusz Kapanowski,4
3995,Piotr Kapcia,6
3996,Ewa Kapeluszna,1
3997,Bartosz Kapera,51
3998,Krzysztof Kapera,1
3999,Marcin Kapera,5
4000,Kacper Kaperek,1
4001,Barbara Kapica,3
4002,Rafał Kapica,3
4003,Dawid Kapinos,33
4004,Radosław Kapłan,4
4005,Paulina Kapłon,33
4006,Radosław Kapłoniak,1
4007,Stanisław Kapral,1
4008,Łucja Kapralska,2
4009,Stanisław Kaprzyk,72
4010,Wojciech Kapturkiewicz,147
4011,Paweł Kapturski,122
4012,Wojciech Kapuścik,32
4013,Czesław Kapusta,1
4014,Jan Kapusta,376
4015,Marcin Kapusta,2
4016,Marcin Kapusta,17
4017,Marcin Kapusta,4
4018,Mariusz Kapusta,3
4019,Alperen Kara,72
4020,Mehmet Kara,2
4021,Ewelina Karaś,3
4022,Łukasz Karaś,1
4023,Marek Karaś,4
4024,Wojciech Karaś,8
4025,Kinga Karasek-Kędzior,10
4026,Andrei Karatkevich,2
4027,Adrian Karbowiak,11
4028,Bożena Karbowiak,2
4029,Damian Karbowniczek,2
4030,Joanna Karbowniczek,1
4031,Mirosław Karbowniczek,58
4032,Przemysław Karbownik,213
4033,Jakub Karbowski,1
4034,Michał Karch,3
4035,Aleksander Karcz,92
4036,Piotr Karcz,70
4037,Jerzy Karczewski,1
4038,Krzysztof Karczewski,84
4039,Mateusz Karczewski,16
4040,Artur Karczmarczyk,25
4041,Jacek Kardela,3
4042,Paweł Karelus,4
4043,Ernest Kargul,1
4044,Piotr Kargul,1
4045,Tomasz Kargul,2
4046,Iwona Kargulewicz,30
4047,Afshar Keyvan Karim,18
4048,Masoud Karimi,4
4049,Marek Karkula,2
4050,Joanna Karlikowska,108
4051,Angelis Karlos,17
4052,Panagiotis Karmiris-Obratański,7
4053,Magdalena Karnas,47
4054,Filip Karolonek,7
4055,Artur Karp,3
4056,Maria Karp,2
4057,Paulina Karp-Zawlik,1
4058,Olena Karpel,4
4059,Grzegorz Karpiel,4
4060,Tomasz Karpiel,134
4061,Justyna Karpińska,2
4062,Agnieszka Karpińska-Rzepa,3
4063,Grzegorz Karpiński,11
4064,Karol Karpiński,1
4065,Marcin Karpiński,1
4066,Robert Karpiński,13
4067,Pavel Karpovich,1
4068,Andrzej Karwacki,5
4069,Jerzy Karwacki,10
4070,Łukasz Karwacki,2
4071,Joanna Karwan-Baczewska,18
4072,Jakub Karwan,102
4073,Jarosław Karwan,1
4074,Tadeusz Karwan,1
4075,Bolesław Karwat,26
4076,Kamil Karwat,207
4077,Michał Karwatowski,1
4078,Wojciech Karwowski,39
4079,Maria Kąsek,6
4080,Nataliia Kashpruk,1
4081,Magdalena Kasietczuk,7
4082,Zbigniew Kasina,15
4083,Ewelina Kasińska-Pilut,44
4084,Krzysztof Kasiński,2
4085,Kaja Kasper,116
4086,Mirosław Kasper,5
4087,Jerzy Kasperek,4
4088,Jakub Kasperkowicz,74
4089,Monika Kasperska,2
4090,Agata Kasprzak,24
4091,Cezary Arkadiusz Kasprzak,24
4092,Ewelina Kasprzak,81
4093,Andrzej Kasprzyk,1
4094,Dominik Kasprzyk,4
4095,Grzegorz Kasprzyk,21
4096,Jarosław Kasprzyk,5
4097,Maciej Kasprzyk,1
4098,Marta Kasprzyk,1
4099,Paula Kasprzyk,12
4100,Piotr Kasprzyk,12
4101,Stanisław Kasprzyk,20
4102,Szymon Kasprzyk,36
4103,Władysław Kasprzyk,4
4104,Krzysztof Kastelik,5
4105,Paweł Kastelik,5
4106,Marzena Kastyak,1
4107,Karolina Kasza,5
4108,Piotr Stanisław Kasza,1
4109,Kajetan Kaszowski,67
4110,Aleksandra Kasztelewicz,1
4111,Zbigniew Kasztelewicz,23
4112,Marek Kasztelnik,342
4113,Filip Kaszuba,75
4114,Michał Kaszuba,9
4115,Paulina Kaszuba,1
4116,Paweł Kaszuba,1
4117,Kamil Kaszyca,1
4118,Kamil K. Kaszyca,18
4119,Dariusz Kata,1
4120,Filip Kateusz,182
4121,Adam Kawa,3
4122,Kamil Kawa,28
4123,Kazimierz Kawa,1
4124,Krystian Kawa,2
4125,Michał Kawa,4
4126,Michał Kawa,27
4127,Patryk Kawa,2
4128,Wojciech Kawa,4
4129,Alicja Kawala,4
4130,Magdalena Kawala,3
4131,Anna Kawalec,1
4132,Dominik Kawalec,3
4133,Ewa Kawalec-Latała,1
4134,Magdalena Kawalec,36
4135,Paweł Kawalec,120
4136,Jakub Kawałko,33
4137,Marcin Kawalkowski,71
4138,Anna Kawęcka,1
4139,Elżbieta Kawecka-Cebula,2
4140,Ewa Kawecka,75
4141,Barbara Kawecka-Magiera,1
4142,Artur Kawecki,6
4143,Zygmunt Kawecki,231
4144,Regina Kawiecka,3
4145,Tomasz Kawik,3
4146,Adrianna Kawka,2
4147,Kamil Kawoń,1
4148,Katarzyna Kawula,17
4149,Łukasz Kawulok,1
4150,Jan Kazanecki,1
4151,Paweł Kazanowski,62
4152,Maciej Kaziród,9
4153,Judyta Kaźmierczak,2
4154,Martyna Kaźmierczak,2
4155,Monika Kaźmierczuk,17
4156,Tomasz Kaźmierski,17
4157,Anna Kaźnica,9
4158,Natalia Kaźnica,5
4159,Karolina Kaznowska-Opala,42
4160,Rafał Kębłowski,22
4161,Jarosław Kędzierski,2
4162,Maciej Kędzierski,10
4163,Miłosz Kędzierski,1
4164,Zbigniew Kędzierski,1
4165,Agnieszka Kędzior,51
4166,Anna Kędzior,2
4167,Lucyna Kędzior,5
4168,Anna Kegel,1
4169,Paweł Kempys,2
4170,Teresa Kenig,17
4171,Beata Kępińska,17
4172,Jan Kępiński,13
4173,Michał Kępiński,9
4174,Michał Kępiński,9
4175,Grzegorz Kępisty,13
4176,Gabriel Kępka,50
4177,Martyna Kępka,1
4178,Paulina Kępka,1
4179,Mikołaj Kępski,1
4180,Waldemar Kępys,68
4181,Bartłomiej Kercel,68
4182,Marek Kęsek,10
4183,Mitra Khalilidermani,74
4184,Aun Khan,9
4185,Naureen Khanam,1
4186,Naing Aung Khant,1
4187,Olha Khshanovska,2
4188,Ara Rouhollah Kian,2
4189,Piotr Kica,3
4190,Alicja Kicińska,2
4191,Jerzy Kicki,156
4192,Marcin Kiczor,132
4193,Piotr Kiebzak,2
4194,Szymon Kiebzak,5
4195,Radosław Kieca,1
4196,Aleksandra Kiecak,4
4197,Monika Kiecana,18
4198,Artur Kiedlik,1
4199,Angelika Kiełbasa,1
4200,Bartłomiej Kiełbasa,1
4201,Jadwiga Kiełbasa,27
4202,Jan Kiełbasa,2
4203,Tomasz Kiełbasa,17
4204,Paulina Kiełczykowska,1
4205,Ilona Kieliba,7
4206,Gabriela Kieljan,4
4207,Andrzej Kielski,1
4208,Łukasz Kiełtyka,55
4209,Marcin Kiełtyka,2
4210,Patryk Kiepas,2
4211,Olga Kieras-Kogut,3
4212,Bartosz Kierczak,1
4213,Roman Kieroński,1
4214,Grzegorz Kiesiewicz,42
4215,Piotr Kieszek,280
4216,Anna Kiewrel,1
4217,Piotr Kij,5
4218,Joanna Kijak,2
4219,Paweł Kijanka,3
4220,Piotr Kijanka,1
4221,Maciej Kilar,62
4222,Maria Kilarska,2
4223,Angelika Kiławiec,8
4224,Ewelina Kilian,1
4225,Zbigniew Kiliański,1
4226,Sebastian Kiluk,3
4227,Thi Thu Huong Kim,15
4228,Oksana Kinasz,4
4229,Roman Kinasz,16
4230,Tomohiro Kinoshita,170
4231,Piotr Kipczak,1
4232,Marek Kiper,39
4233,Mateusz Kiper,4
4234,Karolina Kipigroch,1
4235,Piotr Kipiński,1
4236,Cezary Kirczuk,2
4237,Bożena Kirkov,3
4238,Artur Kisełyczka,1
4239,Marek Kisiel-Dorohinicki,3
4240,Piotr Grzegorz Kisiel,206
4241,Stanisław Kisiel,85
4242,Danuta Kisielewska,14
4243,Joanna Kisielewska,1043
4244,Ewa Kisielowska,5
4245,Michał Kisilewicz,24
4246,Joanna Kiszka,4
4247,Paweł Kita,1
4248,Jacek Kitowski,28
4249,Maciej Krzysztof Kłaczyński,451
4250,Beata Klaja-Gaweł,183
4251,Barbara Kłak,10
4252,Kamil Kłak,1
4253,Jerzy Klamka,1
4254,Piotr Klamka,1
4255,Magdalena Klapper-Rybicka,3
4256,Joanna Kłapyta,12
4257,Zenon Kłapyta,1
4258,Bartłomiej Klarecki,25
4259,Wiktor Klaszczyk,2
4260,Tadeusz Klatka,1
4261,Iwona Klebert,1
4262,Mateusz Kłeczek,1
4263,Michalina Kłeczek,5
4264,Paweł Kłeczek,1
4265,Rafał Kłeczek,20
4266,Zdzisław Kłeczek,80
4267,Antoni Stanisław Kleczkowski,53
4268,Piotr Kleczkowski,25
4269,Elżbieta Kleczyk,105
4270,Jan Kleczyński,2
4271,Wacław Klein,1
4272,Sylwia Klejna,4
4273,Maciej Klemiato,14
4274,Ryszard Klempka,25
4275,Krystian Klepczyk,87
4276,Andrzej Klepka,1
4277,Elżbieta Kleszcz,136
4278,Grzegorz Kleszcz,6
4279,Kamil Kleszcz,1
4280,Agnieszka Kleszcz-Rusek,5
4281,Sławosz Kleszcz,10
4282,Anna Kleszczewska-Zębala,23
4283,Adam Klich,13
4284,Jerzy Klich,63
4285,Joanna Klich-Kafel,52
4286,Piotr Klich,7
4287,Kinga Klima,2
4288,Kinga Klima,11
4289,Bogusław Klimas,3
4290,Wojciech Klimasz,2
4291,Magdalena Klimczak-Chmielowska,1
4292,Konrad Klimczak,10
4293,Michał Klimczak,8
4294,Arkadiusz Klimczyk,1
4295,Agnieszka Klimeczek,103
4296,Agnieszka Klimek,2
4297,Anna Klimek,56
4298,Katarzyna Klimek,1
4299,Marcin Klimek,3
4300,Marcin Klimek,10
4301,Mirosław Klimek,1
4302,Radosław Klimek,78
4303,Urszula Klimek,78
4304,Zbigniew Klimek,1
4305,Katarzyna Klimkiewicz,58
4306,Alicja Klimkowicz,58
4307,Łukasz Klimkowski,51
4308,Jerzy Klinik,35
4309,Kornelia M. Kliś,72
4310,Marian Klisch,10
4311,Monika Klisch,10
4312,Robert Klisowski,5
4313,Łukasz Klita,18
4314,Wojciech Klityński,15
4315,Konrad Kloch,54
4316,Michał Kloch,2
4317,Krzysztof Kłodowski,6
4318,Beata Klojzy-Karczmarczyk,25
4319,Iwona Klonowska,11
4320,Kamil Klonowski,71
4321,Grzegorz Kłopotowski,2
4322,Wojciech Kłos,1
4323,Ewelina Kłosek-Wawrzyn,2
4324,Anna Kłosińska,36
4325,Andrzej Kloska,13
4326,Jonatan Kłosko,13
4327,Paweł Kłósko,1
4328,Anna Kłucjasz,9
4329,Sławomir Kłucjasz,2
4330,Maciej Kluczewski,2
4331,Grzegorz Kluczniak,1
4332,Karolina Klucznik,2
4333,Adrian Kluczny,1
4334,Mateusz Kluczny,7
4335,Jakub Kluk,1
4336,Adrian Marek Kłusek,1
4337,Marzena Kłusek,27
4338,Mieszko Kłusek,6
4339,Michał Kluska,1
4340,Stanisława Kluska-Nawarecka,1
4341,Stanisława Kluska,128
4342,Michał Kluz,96
4343,Konrad Kluza,1
4344,Krzysztof Kluza,4
4345,Wojciech Kłyza,107
4346,Jarosław Kmak,1
4347,Marcin Kmieć,8
4348,Ewa Kmiecik,4
4349,Jacek Kmiecik,223
4350,Jakub Kmiecik,16
4351,Michał Kmiecik,9
4352,Natalia Kmiecik,7
4353,Piotr Kmiecik,12
4354,Szymon Kmiecik,1
4355,Krzysztof Kmiotek,1
4356,Angelika Kmita,1
4357,Grzegorz Kmita,208
4358,Piotr Kmon,13
4359,Marcin Knafel,171
4360,Karolina Knap,2
4361,Paweł Knap,22
4362,Wiesław Knap,14
4363,Joanna Knapczyk-Korczak,20
4364,Piotr Knapczyk,34
4365,Arkadiusz Knapik,1
4366,Dawid Knapik,16
4367,Ewa Knapik,13
4368,Ida Knapik,39
4369,Małgorzata Knapik,1
4370,Mateusz Knapik,1
4371,Mikołaj Knapik,10
4372,Jolanta Knecht,1
4373,Dariusz Knez,8
4374,Paweł Kniaź,117
4375,Michał Bartłomiej Kniotek,3
4376,Martyna Knop,13
4377,Stanisław Knothe,1
4378,Rafał Knura,9
4379,Marcin Knutelski,29
4380,Tadeusz Knych,1
4381,Paweł Kobak,665
4382,Marcin Kobas,2
4383,Ryszard Kobiałka,3
4384,Krzysztof Kobiela,20
4385,Marek Kobosko,3
4386,Konrad Kobus,2
4387,Michał Kobuszewski,28
4388,Marcin Kobylarski,1
4389,Dominik Kobylarz,14
4390,Piotr Kocanda,5
4391,Jacek Kocemba,19
4392,Wacław Kocemba,2
4393,Kamil Koceniak,2
4394,Artur Kocerba,2
4395,Andrzej Koch,25
4396,Paweł Kochaj,20
4397,Ewa Kochan,7
4398,Jarosław Kochan,8
4399,Monika Kochan,1
4400,Justyna Kochańczyk,2
4401,Konrad Kochanowicz,1
4402,Wojciech Kochański,6
4403,Alicja Kochman,3
4404,Karol Kocierz,31
4405,Rafał Kocierz,2
4406,Piotr Kociuba,44
4407,Lucjan Kocjan,1
4408,Przemysław Kocjan,3
4409,Angelika Koclęga,5
4410,Damian Koclęga,1
4411,Mateusz Kocoń,21
4412,Renata Kocoń,1
4413,Joanna Kocot,2
4414,Maciej Kocot,52
4415,Magdalena Kocot,2
4416,Wojciech Kocot,6
4417,Karol Kocur,56
4418,Justyna Kocurek,1
4419,Magdalena Kocurek,1
4420,Paweł Kocwa,2
4421,Maria Koczur,1
4422,Joanna Koczwara,2
4423,Anna Kogut,1
4424,Krzysztof Kogut,1
4425,Krzysztof Kogut,102
4426,Krzysztof Kogut,21
4427,Lucyna Kogut,2
4428,Małgorzata Kogut,1
4429,Maria Kogut,4
4430,Wojciech Kogut,1
4431,Maria Kogutowska,2
4432,Anderson Kendi Ramidan Kohara,9
4433,Roksana Kohnke,5
4434,Piotr Andrzej Kohut,1
4435,Zdzisław Kohutek,136
4436,Klaudia Kojder,35
4437,Ewa Kojder-Ogarek,1
4438,Zbigniew Kokesz,7
4439,Piotr Kokosz,23
4440,Adam Kokosza,1
4441,Łukasz Kokosza,84
4442,Artur Kokoszka,4
4443,Paweł Kokoszka,3
4444,Daria Kokot,3
4445,Martyna Kołacka,1
4446,Jerzy Kołacz,1
4447,Katarzyna Kołacz,3
4448,Damian Kołaczek,6
4449,Bogumił Kołaczkowski,6
4450,Aneta Kolaniak,4
4451,Malwina Kolano,2
4452,Karolina Kolarz,25
4453,Anna Kolasa,1
4454,Krzysztof Kolasiński,10
4455,Grzegorz Kołaszczyński,31
4456,A. Kolawa-Kozioł,1
4457,Ewa Kolber,1
4458,Karolina Kolber,2
4459,Andrzej Kolbus,32
4460,Karolina Kołczyk-Siedlecka,42
4461,Joanna Kolczyk-Tylka,90
4462,Klaudia Kołdarz,71
4463,Ilona Kolebuk,1
4464,Beata Kolecka,4
4465,Jakub Kolecki,2
4466,Piotr Kolecki,34
4467,Krzysztof Kołek,1
4468,Zygmunt Kolenda,67
4469,Paweł Kolendo,103
4470,Joanna Koleszyńska,8
4471,Andrzej Koleżyński,8
4472,Kamila Kollbek,163
4473,Andrzej Kołodziej,42
4474,Dagmara Kołodziej,55
4475,Marta Kołodziej-Hajdo,1
4476,Jacek Kołodziej,61
4477,Józef Kołodziej,82
4478,Karolina Kołodziej,12
